date,portfolio_return,portfolio_return_gross,trade_value,friction_cost,rebalance_friction_rate,turnover,regime,stocks_held,stops_hit,cash,portfolio_value_start,portfolio_value,cash_weight,invested_weight,kelly_f_star,kelly_b_used,kelly_largest_weight,cumulative_return
2024-01-02,-0.0021999999999999997,0.0,99999.99999999999,219.99999999999997,0.0022,0.9999999999999999,HIGH_VOL,"['IREDA_NS', 'ADANIGREEN_NS', 'BDL_NS', 'NATIONALUM_NS', 'IRFC_NS']",[],False,100000.0,99780.0,1.1102230246251565e-16,0.9999999999999999,0.47502839562141075,9.76387810217398,0.21465170839477601,-0.0021999999999999797
2024-01-03,-0.0022000000000000006,0.0,99780.00000000003,219.51600000000008,0.0022,0.0,BULL,"['IREDA_NS', 'ADANIGREEN_NS', 'NATIONALUM_NS', 'BDL_NS', 'IRFC_NS']",[],False,99780.0,99560.484,-2.220446049250313e-16,1.0000000000000002,0.4837916198583381,11.902506382759523,0.22332180033889357,-0.004395160000000065
2024-01-04,-0.0022,0.0,99560.484,219.0330648,0.0022,0.0,HIGH_VOL,"['IREDA_NS', 'ADANIGREEN_NS', 'NATIONALUM_NS', 'BDL_NS', 'IRFC_NS']",[],False,99560.484,99341.4509352,0.0,1.0,0.4755583516531345,9.871138659608835,0.22282690770130387,-0.006585490647999959
2024-01-05,-0.0022,0.0,99341.4509352,218.55119205744,0.0022,0.3333333333333333,BULL,"['IREDA_NS', 'GMRAIRPORT_NS', 'BDL_NS', 'NATIONALUM_NS', 'IRFC_NS']",[],False,99341.4509352,99122.89974314257,0.0,1.0,0.48393733729684146,11.94601583808065,0.23460412546998927,-0.008771002568574326
2024-01-08,-0.0021999999999999997,0.0,99122.89974314255,218.07037943491363,0.0022,0.33333333333333326,HIGH_VOL,"['IREDA_NS', 'GMRAIRPORT_NS', 'BDL_NS', 'IDEA_NS', 'IRFC_NS']",[],False,99122.89974314257,98904.82936370766,1.1102230246251565e-16,0.9999999999999999,0.4822366848901724,11.457218913883082,0.2334720842784284,-0.010951706362923419
2024-01-09,-0.0021999999999999997,0.0,98904.82936370764,217.59062460015681,0.0022,0.0,BULL,"['IREDA_NS', 'GMRAIRPORT_NS', 'BDL_NS', 'IRFC_NS', 'IDEA_NS']",[],False,98904.82936370766,98687.2387391075,1.1102230246251565e-16,0.9999999999999999,0.4840577835381143,11.982220479743354,0.23249632447197718,-0.013127612608924921
2024-01-10,-0.0022,0.0,98687.2387391075,217.11192522603653,0.0022,0.3333333333333333,HIGH_VOL,"['IREDA_NS', 'NATIONALUM_NS', 'BDL_NS', 'IRFC_NS', 'IDEA_NS']",[],False,98687.2387391075,98470.12681388146,0.0,1.0,0.46754099150773754,8.464422192323088,0.219088851352452,-0.015298731861185355
2024-01-11,-0.0022,0.0,98470.12681388146,216.63427899053923,0.0022,0.5714285714285714,BULL,"['GVT&D_NS', 'NATIONALUM_NS', 'BDL_NS', 'YESBANK_NS', 'IRFC_NS']",[],False,98470.12681388146,98253.49253489093,0.0,1.0,0.4583821373676535,7.279357362625571,0.21715448224334458,-0.017465074651090706
2024-01-12,-0.0022,0.0,98253.49253489093,216.15768357676006,0.0022,0.3333333333333333,HIGH_VOL,"['GVT&D_NS', 'NATIONALUM_NS', 'IRFC_NS', 'BDL_NS', 'LODHA_NS']",[],False,98253.49253489093,98037.33485131417,0.0,1.0,0.46148208004749636,7.6414617234166595,0.21844679168761166,-0.01962665148685827
2024-01-15,-0.0022,0.0,98037.33485131417,215.68213667289118,0.0022,0.0,BULL,"['GVT&D_NS', 'IRFC_NS', 'LODHA_NS', 'NATIONALUM_NS', 'BDL_NS']",[],False,98037.33485131417,97821.65271464128,0.0,1.0,0.4547769718258693,6.899146742716741,0.21024083869643184,-0.02178347285358717
2024-01-16,-0.0022,0.0,97821.65271464128,215.20763597221085,0.0022,0.0,HIGH_VOL,"['GVT&D_NS', 'NATIONALUM_NS', 'LODHA_NS', 'BDL_NS', 'IRFC_NS']",[],False,97821.65271464128,97606.44507866907,0.0,1.0,0.4251446368932731,4.826904336511733,0.2064750494263601,-0.023935549213309315
2024-01-17,-0.0022,0.0,97606.44507866907,214.73417917307196,0.0022,0.3333333333333333,BULL,"['IRFC_NS', 'GVT&D_NS', 'LODHA_NS', 'COCHINSHIP_NS', 'NATIONALUM_NS']",[],False,97606.44507866907,97391.710899496,0.0,1.0,0.47548566474140513,9.856287941274845,0.22587324185921265,-0.02608289100504002
2024-01-18,-0.0021999999999999997,0.0,97391.71089949599,214.26176397889117,0.0022,0.33333333333333326,HIGH_VOL,"['IRFC_NS', 'GVT&D_NS', 'COCHINSHIP_NS', 'RVNL_NS', 'LODHA_NS']",[],False,97391.710899496,97177.4491355171,2.220446049250313e-16,0.9999999999999998,0.4901720014809704,14.160818989287293,0.23127107391618978,-0.028225508644828978
2024-01-19,-0.0021999999999999997,0.0,97177.44913551709,213.7903880981376,0.0022,0.33333333333333326,BULL,"['OFSS_NS', 'IRFC_NS', 'GVT&D_NS', 'RVNL_NS', 'COCHINSHIP_NS']",[],False,97177.4491355171,96963.65874741897,1.1102230246251565e-16,0.9999999999999999,0.45706723934961485,7.135925373967746,0.21411304780450058,-0.030363412525810318
2024-01-23,-0.0022,0.0,96963.65874741897,213.32004924432175,0.0022,0.3333333333333333,HIGH_VOL,"['IRFC_NS', 'RVNL_NS', 'OFSS_NS', 'HUDCO_NS', 'COCHINSHIP_NS']",[],False,96963.65874741897,96750.33869817466,0.0,1.0,0.47941835128009497,10.72965997737768,0.21499526106450115,-0.03249661301825346
2024-01-24,-0.0022,0.0,96750.33869817466,212.85074513598425,0.0022,0.0,BULL,"['IRFC_NS', 'RVNL_NS', 'OFSS_NS', 'HUDCO_NS', 'COCHINSHIP_NS']",[],False,96750.33869817466,96537.48795303868,0.0,1.0,0.4846636853238939,12.167727184867868,0.21675091693432066,-0.03462512046961319
2024-01-25,-0.0022,0.0,96537.48795303868,212.38247349668512,0.0022,0.0,HIGH_VOL,"['IRFC_NS', 'RVNL_NS', 'HUDCO_NS', 'OFSS_NS', 'COCHINSHIP_NS']",[],False,96537.48795303868,96325.105479542,0.0,1.0,0.49364012242182764,15.789188758002142,0.22279304867522914,-0.03674894520457994
