date,portfolio_return,portfolio_return_gross,trade_value,friction_cost,rebalance_friction_rate,turnover,regime,stocks_held,stops_hit,cash,portfolio_value_start,portfolio_value,cash_weight,invested_weight,kelly_f_star,kelly_b_used,kelly_largest_weight,cumulative_return
2012-01-03,0.02082514495965004,0.021348744959650043,23800.000000000044,52.3600000000001,0.0022,0.23800000000000043,HIGH_VOL,"['3MINDIA.NS', 'OBEROIRLTY.NS', 'NMDC.NS', 'NHPC.NS', 'NESTLEIND.NS']",[],False,100000.0,102082.51449596499,0.7619999999999996,0.23800000000000043,0.04760000000000009,1.0,0.04760000000000009,0.020825144959649933
2012-02-02,-0.014276175365804788,-0.012076175365804787,102082.51449596499,224.581531891123,0.0022,1.0,HIGH_VOL,"['NCC.NS', 'KEC.NS', 'BRIGADE.NS', 'ABB.NS', 'VEDL.NS']","['NCC.NS', 'VEDL.NS']",False,102082.51449596499,100625.16661723828,0.0,1.0,0.459839613393798,7.44523329622626,0.21468960151996686,0.006251666172382819
2012-03-05,0.023396249292903386,0.025596249292903387,100625.16661723828,221.37536655792422,0.0022,1.0,HIGH_VOL,"['SAREGAMA.NS', 'LINDEINDIA.NS', 'BAJAJFINSV.NS', 'HONAUT.NS', 'BALKRISIND.NS']","['SAREGAMA.NS', 'HONAUT.NS']",False,100625.16661723828,102979.41810055514,0.0,1.0,0.48475192111457865,12.195222238648723,0.22476907281101957,0.029794181005551312
2012-04-04,-0.02188538783552351,-0.01968538783552351,102979.41810055517,226.55471982122137,0.0022,1.0000000000000002,HIGH_VOL,"['SCHNEIDER.NS', 'EICHERMOT.NS', 'NATCOPHARM.NS', 'JUBLFOOD.NS', 'JKCEMENT.NS']","['JUBLFOOD.NS', 'JKCEMENT.NS']",False,102979.41810055514,100725.67359634796,-2.220446049250313e-16,1.0000000000000002,0.44633560459649796,6.147340304142765,0.21176930795978768,0.0072567359634796436
2012-05-08,-0.017365842874845838,-0.015165842874845837,100725.67359634796,221.59648191196553,0.0022,1.0,HIGH_VOL,"['RHIM.NS', 'NAVINFLUOR.NS', 'PERSISTENT.NS', 'GODREJCP.NS', 'BOSCHLTD.NS']","['RHIM.NS', 'NAVINFLUOR.NS', 'PERSISTENT.NS']",False,100725.67359634796,98976.48737521077,0.0,1.0,0.48939084141970757,13.839338700735894,0.23914844872539776,-0.010235126247892357
2012-06-07,0.0364336251868879,0.0386336251868879,98976.48737521077,217.7482722254637,0.0022,1.0,HIGH_VOL,"['IIFL.NS', 'BERGEPAINT.NS', 'DIVISLAB.NS', 'EMAMILTD.NS', 'SBIN.NS']",[],False,98976.48737521077,102582.55961855395,0.0,1.0,0.4608128943992412,7.560277543444749,0.21826129324578986,0.025825596185539368
2012-07-06,-0.018423217698117778,-0.016223217698117777,102582.55961855395,225.6816311608187,0.0022,1.0,HIGH_VOL,"['JKCEMENT.NS', 'MANAPPURAM.NS', 'SUNTV.NS', 'JSWENERGY.NS', 'INDIANB.NS']","['JKCEMENT.NS', 'SUNTV.NS', 'JSWENERGY.NS', 'INDIANB.NS']",False,102582.55961855395,100692.65879067118,0.0,1.0,0.4698206572774938,8.821893264762796,0.214712142230398,0.006926587906711745
2012-08-06,0.08703262665132802,0.08923262665132803,100692.65879067121,221.52384933947667,0.0022,1.0000000000000002,HIGH_VOL,"['NEULANDLAB.NS', 'ZYDUSLIFE.NS', 'ATUL.NS', 'CHOLAFIN.NS', 'RAMCOCEM.NS']",[],False,100692.65879067118,109456.20536972921,-2.220446049250313e-16,1.0000000000000002,0.4322532319578709,5.201712853269231,0.20837480015347534,0.0945620536972922
2012-09-07,0.04706396938700206,0.04926396938700206,109456.20536972921,240.8036518134043,0.0022,0.8888888888888888,HIGH_VOL,"['NEULANDLAB.NS', 'MOTHERSON.NS', 'ASTRAL.NS', 'SUPREMEIND.NS', 'HINDUNILVR.NS']",['NEULANDLAB.NS'],False,109456.20536972921,114607.64886846756,0.0,1.0,0.4819591025288168,11.38120902707618,0.22734617163225734,0.1460764886846755
2012-10-10,0.09574435510041267,0.09794435510041266,114607.64886846756,252.13682751062865,0.0022,1.0,HIGH_VOL,"['ANANTRAJ.NS', 'PGEL.NS', 'NBCC.NS', 'MUTHOOTFIN.NS', 'CANBK.NS']","['ANANTRAJ.NS', 'CANBK.NS']",False,114607.64886846756,125580.68429895352,0.0,1.0,0.49636984164330783,17.36045391381492,0.24679726693441292,0.25580684298953527
