date,portfolio_return,portfolio_return_gross,trade_value,friction_cost,rebalance_friction_rate,turnover,regime,stocks_held,stops_hit,cash,portfolio_value_start,portfolio_value,cash_weight,invested_weight,kelly_f_star,kelly_b_used,kelly_largest_weight,cumulative_return
2024-01-10,0.10224205136101996,0.10334205136101997,49999.99999999999,109.99999999999999,0.0022,0.49999999999999994,HIGH_VOL,"['GVT&D.NS', 'NATIONALUM.NS', 'BDL.NS']",[],False,100000.0,110224.205136102,0.5,0.49999999999999994,0.44860454772574243,6.332829786875585,0.17623553099492864,0.10224205136102005
2024-02-12,0.026650636730441164,0.028850636730441165,110224.205136102,242.4932512994244,0.0022,1.0,BULL,"['OFSS.NS', 'IREDA.NS', 'IOC.NS', 'IRFC.NS', 'CUMMINSIND.NS', 'PNB.NS', 'ZYDUSLIFE.NS']",['IREDA.NS'],False,110224.205136102,113161.75038608587,0.0,1.0,0.4953912230513166,16.76242524837275,0.1716924724170901,0.1316175038608587
2024-03-13,0.004567421951281715,0.0056674219512817155,56580.875193042935,124.47792542469446,0.0022,0.5,HIGH_VOL,"['TATAINVEST.NS', 'ABB.NS', 'OIL.NS']",['TATAINVEST.NS'],False,113161.75038608587,113678.60784884474,0.5,0.5,0.4907492052335196,14.408125534183965,0.19571702943910696,0.13678607848844737
2024-04-16,0.07959258337285699,0.08179258337285698,113678.60784884471,250.09293726745838,0.0022,0.9999999999999998,BULL,"['EXIDEIND.NS', 'COCHINSHIP.NS', 'VEDL.NS', 'MOTILALOFS.NS', 'BSE.NS', 'INDUSTOWER.NS', 'JSWENERGY.NS']","['BSE.NS', 'JSWENERGY.NS']",False,113678.60784884474,122726.58192176423,2.220446049250313e-16,0.9999999999999998,0.470247605122706,8.892226035663384,0.15126345453565096,0.22726581921764222
2024-05-17,0.016446065037868256,0.016886065037868256,24545.316384352845,53.999696045576265,0.0022,0.2,BEAR,"['HINDZINC.NS', 'POWERINDIA.NS', 'SUPREMEIND.NS', 'PRESTIGE.NS', 'RECLTD.NS']","['POWERINDIA.NS', 'SUPREMEIND.NS', 'RECLTD.NS']",False,122726.58192176423,124744.95126992482,0.8,0.2,0.4719213335526909,9.179110270377803,0.043292247163605455,0.2474495126992482
2024-06-19,0.028315137553519876,0.028755137553519876,24948.990253984965,54.887778558766925,0.0022,0.2,BEAR,"['COCHINSHIP.NS', 'MOTHERSON.NS', 'RVNL.NS', 'LODHA.NS', 'IDEA.NS']","['COCHINSHIP.NS', 'LODHA.NS']",False,124744.95126992482,128277.12172423986,0.8,0.2,0.48447055815855755,12.10797757872617,0.04613305396032421,0.2827712172423986
2024-07-19,-0.042036965711288794,-0.0409369657112888,64138.56086211993,141.10483389666385,0.0022,0.42857142857142855,HIGH_VOL,"['RVNL.NS', 'IREDA.NS', 'MAZDOCK.NS']","['RVNL.NS', 'IREDA.NS', 'MAZDOCK.NS']",False,128277.12172423986,122884.74075677517,0.5,0.5,0.4794035174430139,10.726074963005498,0.17799109724295162,0.22884740756775157
2024-08-20,0.051013011678238414,0.053213011678238414,122884.7407567752,270.34642966490543,0.0022,1.0000000000000002,BULL,"['SUZLON.NS', 'TRENT.NS', 'MCX.NS', 'HINDPETRO.NS', 'LUPIN.NS', 'ASHOKLEY.NS', 'PATANJALI.NS']","['SUZLON.NS', 'ASHOKLEY.NS']",False,122884.74075677517,129153.46147207783,-2.220446049250313e-16,1.0000000000000002,0.48749229167815683,13.115672181202113,0.16755296705649578,0.29153461472077824
2024-09-18,0.0005765974934249544,0.0010165974934249545,25830.692294415567,56.82752304771425,0.0022,0.2,BEAR,"['BSE.NS', 'PREMIERENE.NS', 'RADICO.NS', 'KALYANKJIL.NS', 'AUBANK.NS']","['BSE.NS', 'PREMIERENE.NS', 'RADICO.NS', 'AUBANK.NS']",False,129153.46147207783,129227.93103422978,0.8,0.2,0.4827593525745049,11.603130795255824,0.04392999953607099,0.2922793103422978
2024-10-18,-0.09355234217623104,-0.09135234217623105,129227.93103422978,284.3014482753055,0.0022,1.0,BULL,"['MOTILALOFS.NS', 'NATIONALUM.NS', 'SIEMENS.NS', 'MCX.NS', 'TIINDIA.NS', 'MANKIND.NS', 'DIXON.NS']","['MOTILALOFS.NS', 'SIEMENS.NS', 'MCX.NS', 'TIINDIA.NS', 'MANKIND.NS', 'DIXON.NS']",False,129227.93103422978,117138.35541138914,0.0,1.0,0.4793875112392565,10.722209299401309,0.16204042736291566,0.1713835541138915
