date,portfolio_return,portfolio_return_gross,trade_value,friction_cost,rebalance_friction_rate,turnover,regime,stocks_held,stops_hit,cash,portfolio_value_start,portfolio_value,cash_weight,invested_weight,kelly_f_star,kelly_b_used,kelly_largest_weight,cumulative_return
2013-01-02,-0.015014202481432535,-0.014490602481432534,23800.000000000044,52.3600000000001,0.0022,0.23800000000000043,HIGH_VOL,"['ABB.NS', 'NESTLEIND.NS', 'RECLTD.NS', 'POWERGRID.NS', 'PNB.NS']","['ABB.NS', 'NESTLEIND.NS', 'RECLTD.NS', 'PNB.NS']",False,100000.0,98498.57975185676,0.7619999999999996,0.23800000000000043,0.04760000000000009,1.0,0.04760000000000009,-0.015014202481432481
2013-01-31,-0.037263094707939315,-0.035063094707939314,98498.57975185673,216.69687545408482,0.0022,0.9999999999999998,HIGH_VOL,"['ONGC.NS', 'INFY.NS', 'DLF.NS', 'SOLARINDS.NS', 'ADANIPORTS.NS']","['ONGC.NS', 'DLF.NS', 'SOLARINDS.NS', 'ADANIPORTS.NS']",False,98498.57975185676,94828.2178459658,2.220446049250313e-16,0.9999999999999998,0.4598638783572783,7.44805890261892,0.21259968119505762,-0.05171782154034199
2013-03-01,0.03478761364192717,0.036987613641927174,94828.21784596579,208.62207926112475,0.0022,0.9999999999999999,HIGH_VOL,"['TCS.NS', 'SUNPHARMA.NS', 'PIDILITIND.NS', 'GODREJCP.NS', 'CHOLAFIN.NS']",['CHOLAFIN.NS'],False,94828.2178459658,98127.06525074376,1.1102230246251565e-16,0.9999999999999999,0.42526183421608654,4.83264526198173,0.2072571105627709,-0.018729347492562387
2013-04-03,0.04120175600792905,0.04340175600792905,98127.06525074376,215.8795435516363,0.0022,0.75,HIGH_VOL,"['ASIANPAINT.NS', 'SUNPHARMA.NS', 'HCLTECH.NS', 'SIEMENS.NS', 'GODREJCP.NS']","['ASIANPAINT.NS', 'HCLTECH.NS', 'SIEMENS.NS']",False,98127.06525074376,102170.07265097903,0.0,1.0,0.401413065373154,3.89093820718624,0.20760368393633163,0.021700726509790158
2013-05-07,-0.04076728082737834,-0.03856728082737834,102170.07265097903,224.77415983215386,0.0022,0.8888888888888888,BULL,"['MARUTI.NS', 'HINDUNILVR.NS', 'BHARTIARTL.NS', 'AXISBANK.NS', 'SUNPHARMA.NS']","['MARUTI.NS', 'BHARTIARTL.NS', 'AXISBANK.NS']",False,102170.07265097903,98004.87660706292,0.0,1.0,0.4579295407943372,7.229340826563743,0.2145414465708178,-0.019951233929370815
2013-06-05,-0.07819025078987718,-0.07599025078987719,98004.87660706292,215.61072853553844,0.0022,1.0,BULL,"['ABB.NS', 'ADANIPOWER.NS', 'TORNTPHARM.NS', 'APOLLOHOSP.NS', 'BRITANNIA.NS']","['ABB.NS', 'ADANIPOWER.NS', 'APOLLOHOSP.NS']",False,98004.87660706292,90341.8507265257,0.0,1.0,0.39607588389469,3.728348369288125,0.20438494136050608,-0.09658149273474292
2013-07-04,0.02836834557605654,0.03056834557605654,90341.8507265257,198.75207159835657,0.0022,1.0,BULL,"['TECHM.NS', 'AMBUJACEM.NS', 'BAJAJ-AUTO.NS', 'RELIANCE.NS', 'CIPLA.NS']",['AMBUJACEM.NS'],False,90341.8507265257,92904.69956791631,0.0,1.0,0.41492765675842463,4.3739299239970055,0.2064557597760281,-0.07095300432083695
2013-08-02,-0.12064182750924028,-0.11844182750924029,92904.69956791631,204.3903390494159,0.0022,1.0,BULL,"['WIPRO.NS', 'TITAN.NS', 'BHARTIARTL.NS', 'BAJAJHLDNG.NS', 'ASIANPAINT.NS']","['TITAN.NS', 'BHARTIARTL.NS', 'BAJAJHLDNG.NS', 'ASIANPAINT.NS']",False,92904.69956791631,81696.50682784597,0.0,1.0,0.4646522882676887,8.05102997314874,0.21493859371243407,-0.1830349317215404
2013-09-04,-0.023663569131783493,-0.021463569131783492,81696.50682784597,179.73231502126114,0.0022,1.0,BULL,"['MUTHOOTFIN.NS', 'VEDL.NS', 'TECHM.NS', 'IOC.NS', 'INDHOTEL.NS']","['MUTHOOTFIN.NS', 'TECHM.NS']",False,81696.50682784597,79763.27589070001,0.0,1.0,0.49657361485990853,17.49038653312756,0.24031710667676276,-0.20236724109299986
2013-10-07,0.08170041707316149,0.08390041707316148,79763.2758907,175.47920695954,0.0022,0.9999999999999999,BULL,"['TVSMOTOR.NS', 'JSWSTEEL.NS', 'BPCL.NS', 'AXISBANK.NS', 'ULTRACEMCO.NS']",[],False,79763.27589070001,86279.96879809184,1.1102230246251565e-16,0.9999999999999999,0.47276096026819425,9.33011284111696,0.217931366399225,-0.13720031201908156
2013-11-07,0.07674582591966118,0.07894582591966118,86279.96879809184,189.81593135580206,0.0022,1.0,BULL,"['ADANIENT.NS', 'MUTHOOTFIN.NS', 'ASIANPAINT.NS', 'LT.NS', 'BANKBARODA.NS']","['MUTHOOTFIN.NS', 'ASIANPAINT.NS']",False,86279.96879809184,92901.59626382399,0.0,1.0,0.4775158241140863,10.28861356792416,0.22572246439109575,-0.07098403736176018
2013-12-09,-0.10613147115472261,-0.10393147115472262,92901.59626382399,204.3835117804128,0.0022,0.75,BULL,"['ADANIENT.NS', 'CGPOWER.NS', 'TATASTEEL.NS', 'LT.NS', 'ADANIPOWER.NS']","['ADANIENT.NS', 'CGPOWER.NS', 'LT.NS', 'ADANIPOWER.NS']",False,92901.59626382399,83041.81317972226,0.0,1.0,0.44967520268843814,6.424300871925931,0.2131898853350392,-0.16958186820277743
2014-01-09,0.03378327711978524,0.03598327711978524,83041.81317972226,182.69198899538898,0.0022,1.0,BULL,"['TVSMOTOR.NS', 'ZYDUSLIFE.NS', 'MUTHOOTFIN.NS', 'HCLTECH.NS', 'TRENT.NS']","['ZYDUSLIFE.NS', 'TRENT.NS']",False,83041.81317972226,85847.23776690225,0.0,1.0,0.47159421198690726,9.121593948176264,0.21975851739338276,-0.1415276223309775
2014-02-07,0.07836713614597274,0.08056713614597273,85847.23776690225,188.86392308718496,0.0022,0.5714285714285714,BULL,"['IOC.NS', 'TORNTPHARM.NS', 'TVSMOTOR.NS', 'HCLTECH.NS', 'MUTHOOTFIN.NS']",[],False,85847.23776690225,92574.83993673678,0.0,1.0,0.4589132782219069,7.338943730715229,0.217302986799078,-0.07425160063263214
2014-03-12,0.11155267997577827,0.11375267997577826,92574.83993673678,203.66464786082093,0.0022,1.0,BULL,"['ADANIENT.NS', 'ABB.NS', 'DLF.NS', 'ICICIBANK.NS', 'EICHERMOT.NS']",[],False,92574.83993673678,102901.81143000847,0.0,1.0,0.44850468666103943,6.3244308162483795,0.21219253379983494,0.02901811430008472
2014-04-15,0.15075080609293642,0.15295080609293643,102901.81143000847,226.38398514601866,0.0022,0.8888888888888888,BULL,"['UNIONBANK.NS', 'ADANIENT.NS', 'ADANIPOWER.NS', 'BEL.NS', 'TATASTEEL.NS']","['UNIONBANK.NS', 'ADANIPOWER.NS']",False,102901.81143000847,118414.34245150558,0.0,1.0,0.4471352723944359,6.211461448738498,0.20733545221837527,0.18414342451505572
2014-05-19,0.12190078374494454,0.12410078374494453,118414.34245150558,260.5115533933123,0.0022,1.0,BULL,"['PFC.NS', 'CANBK.NS', 'TVSMOTOR.NS', 'SOLARINDS.NS', 'IOC.NS']",[],False,118414.34245150558,132849.14360298638,0.0,1.0,0.4690124060158485,8.69174872212404,0.2203517715440811,0.32849143602986386
2014-06-17,-0.0025903431371398916,-0.00039034313713989213,132849.14360298635,292.26811592657,0.0022,0.8888888888888887,BULL,"['SOLARINDS.NS', 'VEDL.NS', 'INDHOTEL.NS', 'MOTHERSON.NS', 'ULTRACEMCO.NS']",['ULTRACEMCO.NS'],False,132849.14360298638,132505.01873557948,1.1102230246251565e-16,0.9999999999999999,0.4898170801210919,14.012921835347024,0.2375686926456719,0.3250501873557947
2014-07-16,0.04014831363775056,0.04234831363775056,132505.01873557948,291.51104121827484,0.0022,1.0,BULL,"['TVSMOTOR.NS', 'ADANIPORTS.NS', 'SUNPHARMA.NS', 'PIDILITIND.NS', 'BAJFINANCE.NS']","['TVSMOTOR.NS', 'ADANIPORTS.NS']",False,132505.01873557948,137824.87178635152,0.0,1.0,0.4590072020542106,7.349582285340185,0.2168401848128196,0.3782487178635152
2014-08-18,0.08101692223823295,0.08321692223823295,137824.87178635152,303.21471792997335,0.0022,1.0,BULL,"['BRITANNIA.NS', 'EICHERMOT.NS', 'BHARTIARTL.NS', 'ADANIENT.NS', 'CGPOWER.NS']",[],False,137824.87178635152,148991.01870636077,0.0,1.0,0.4750255489985114,9.76330825303325,0.22585628358945886,0.4899101870636078
2014-09-17,-0.058986665103529276,-0.056786665103529275,148991.01870636074,327.78024115399364,0.0022,0.9999999999999999,BULL,"['CIPLA.NS', 'CHOLAFIN.NS', 'TRENT.NS', 'ABB.NS', 'MOTHERSON.NS']","['CHOLAFIN.NS', 'ABB.NS', 'MOTHERSON.NS']",False,148991.01870636077,140202.535382495,1.1102230246251565e-16,0.9999999999999999,0.41931790836666927,4.557718864120515,0.20705259508194632,0.4020253538249501
2014-10-22,-0.010442980825805283,-0.008242980825805282,140202.535382495,308.445577841489,0.0022,1.0,BULL,"['TVSMOTOR.NS', 'PFC.NS', 'NTPC.NS', 'GAIL.NS', 'INDHOTEL.NS']",['TVSMOTOR.NS'],False,140202.535382495,138738.40299376633,0.0,1.0,0.446626836313472,6.17053878903152,0.2145775577158957,0.3873840299376632
2014-11-26,-0.01719857641311182,-0.014998576413111819,138738.40299376633,305.22448658628593,0.0022,1.0,BULL,"['DLF.NS', 'CUMMINSIND.NS', 'TORNTPHARM.NS', 'BOSCHLTD.NS', 'SBIN.NS']",['DLF.NS'],False,138738.40299376633,136352.29996844495,0.0,1.0,0.40883218880786476,4.142028930203515,0.20776372392795556,0.36352299968444957
2014-12-26,0.11626280042732919,0.11846280042732918,136352.29996844495,299.9750599305789,0.0022,1.0,BULL,"['TVSMOTOR.NS', 'BEL.NS', 'UNIONBANK.NS', 'BAJAJFINSV.NS', 'PIDILITIND.NS']",['UNIONBANK.NS'],False,136352.29996844495,152205.0002074836,0.0,1.0,0.28273183120098394,1.9753748592043212,0.20129983166498258,0.522050002074836
2015-01-28,-0.016491693215949316,-0.014499008530912532,137862.0785906696,303.2965728994732,0.0022,0.8051251252673877,BULL,"['APOLLOHOSP.NS', 'BOSCHLTD.NS', 'BEL.NS', 'ASIANPAINT.NS', 'BAJFINANCE.NS']","['APOLLOHOSP.NS', 'ASIANPAINT.NS', 'BAJFINANCE.NS']",False,152205.0002074836,149694.88203812827,0.09423423407418885,0.9057657659258112,0.18115315318516223,1.3897691002460402,0.18193552747380684,0.49694882038128263
2015-02-27,-0.0941400399879191,-0.09194003998791911,149694.88203812824,329.32874048388214,0.0022,0.9999999999999999,BULL,"['ADANIENT.NS', 'SIEMENS.NS', 'JINDALSTEL.NS', 'HCLTECH.NS', 'ADANIPOWER.NS']","['ADANIENT.NS', 'JINDALSTEL.NS', 'ADANIPOWER.NS']",False,149694.88203812827,135602.59985707205,1.1102230246251565e-16,0.9999999999999999,0.4452233158190217,6.060321900364399,0.20721970702182355,0.3560259985707206
2015-03-31,-0.030596554802673606,-0.028396554802673606,135602.59985707205,298.3257196855585,0.0022,1.0,BULL,"['SUNPHARMA.NS', 'MOTHERSON.NS', 'BHARTIARTL.NS', 'IOC.NS', 'PIDILITIND.NS']","['SUNPHARMA.NS', 'MOTHERSON.NS', 'PIDILITIND.NS']",False,135602.59985707205,131453.62747916012,0.0,1.0,0.4234432511479554,4.745072010075365,0.20871550177532683,0.3145362747916012
2015-05-06,-0.16383051994850614,-0.16163051994850614,131453.62747916012,289.1979804541523,0.0022,1.0,BULL,"['VEDL.NS', 'PNB.NS', 'ADANIENT.NS', 'ABB.NS', 'ADANIPORTS.NS']","['VEDL.NS', 'PNB.NS', 'ADANIENT.NS', 'ABB.NS', 'ADANIPORTS.NS']",False,131453.62747916012,109917.51134013207,0.0,1.0,0.42656329047499375,4.897327381049806,0.2098405372924815,0.09917511340132079
2015-06-04,0.0,,,,,,RISK_OFF,[],,True,109917.51134013207,109917.51134013207,,,,,,0.09917511340132079
2015-07-03,-0.00985072744888638,-0.00765072744888638,109917.51134013207,241.81852494829056,0.0022,1.0,BULL,"['BAJFINANCE.NS', 'IOC.NS', 'EICHERMOT.NS', 'BAJAJ-AUTO.NS', 'HINDUNILVR.NS']",['BAJFINANCE.NS'],False,109917.51134013207,108834.74389406055,0.0,1.0,0.45473154910450686,6.894609533382085,0.2150472491403525,0.0883474389406056
2015-08-03,-0.05056437100810907,-0.04836437100810907,108834.74389406054,239.4364365669332,0.0022,0.9999999999999999,BULL,"['BANKBARODA.NS', 'BEL.NS', 'DRREDDY.NS', 'BRITANNIA.NS', 'ASIANPAINT.NS']","['BEL.NS', 'BRITANNIA.NS']",False,108834.74389406055,103331.58352522874,1.1102230246251565e-16,0.9999999999999999,0.42500774722589363,4.820216025327975,0.2089050084603471,0.03331583525228732
2015-09-01,-0.016036936750692076,-0.013836936750692076,103331.58352522874,227.32948375550325,0.0022,1.0,BULL,"['DIVISLAB.NS', 'BAJAJHLDNG.NS', 'JSWSTEEL.NS', 'TITAN.NS', 'CUMMINSIND.NS']","['DIVISLAB.NS', 'BAJAJHLDNG.NS']",False,103331.58352522874,101674.46145588579,0.0,1.0,0.44890843003139763,6.358526069084174,0.21520763504367033,0.016744614558857895
2015-10-05,-0.00042553505211201685,0.0017744649478879833,101674.46145588579,223.68381520294875,0.0022,1.0,BULL,"['DLF.NS', 'RECLTD.NS', 'ADANIPOWER.NS', 'SHREECEM.NS', 'TATACONSUM.NS']","['DLF.NS', 'RECLTD.NS', 'SHREECEM.NS']",False,101674.46145588579,101631.19540863168,0.0,1.0,0.44503778640642094,6.046046425983396,0.21329172946749853,0.016311954086316804
